order_id,customer_id,order_amount,order_date,discount_code
ORD-01200,CUST-7054,181.64,2024-01-18,
ORD-01201,CUST-5669,,2024-01-11,DC950
ORD-01202,CUST-3584,206.11,2024-01-23,DC385
ORD-01203,,93.93,2024-01-15,DC349
ORD-01204,CUST-9900,173.47,2024-01-12,DC683
ORD-01205,,237.62,2024-01-14,DC488
ORD-01206,CUST-9666,110.38,2024-01-24,
ORD-01207,CUST-1128,127.35,2024-01-11,DC432
ORD-01208,CUST-5905,,2024-01-19,
ORD-01209,,129.86,2024-01-06,
ORD-01210,CUST-3200,87.97,2024-01-08,DC448
ORD-01211,CUST-5333,152.74,2024-01-15,
ORD-01212,CUST-2891,107.51,2024-01-23,DC382
ORD-01213,,,2024-02-01,DC629
ORD-01214,,113.22,2024-01-14,DC187
ORD-01215,,212.0,2024-01-23,
ORD-01216,CUST-5616,N/A,2024-01-25,DC668
ORD-01217,CUST-4450,137.12,2024-01-30,DC807
ORD-01218,CUST-6617,182.54,2024-01-07,DC828
ORD-01219,CUST-4335,,2024-01-21,DC911
ORD-01220,,159.1,2024-01-20,
ORD-01221,CUST-9280,202.29,2024-01-11,
ORD-01222,CUST-9004,,2024-01-14,DC349
ORD-01223,CUST-5114,157.39,2024-01-19,
ORD-01224,CUST-1832,160.4,2024-01-28,DC584
ORD-01225,,--,2024-01-02,DC452
ORD-01226,CUST-7939,100.52,2024-01-11,DC863
ORD-01227,CUST-5533,97.18,2024-01-11,DC460
ORD-01228,CUST-1722,170.88,2024-01-08,DC377
ORD-01229,CUST-1058,161.88,2024-01-15,
ORD-01230,CUST-6464,160.02,2024-01-27,
ORD-01231,,163.86,2024-01-20,DC423
ORD-01232,CUST-5291,122.8,2024-01-21,
ORD-01233,CUST-3647,159.29,2024-01-22,DC880
ORD-01234,CUST-8239,,2024-01-12,DC296
ORD-01235,CUST-8007,121.43,2024-01-16,
ORD-01236,CUST-1158,224.63,2024-01-16,DC841
ORD-01237,CUST-2832,168.95,2024-01-16,DC878
ORD-01238,,102.35,2024-01-23,DC389
ORD-01239,,176.26,2024-01-08,DC952
ORD-01240,CUST-9938,111.01,2024-01-18,
ORD-01241,CUST-1590,181.48,2024-01-17,
ORD-01242,CUST-7049,N/A,2024-01-27,
ORD-01243,CUST-3426,,2024-01-30,
ORD-01244,,188.54,2024-02-01,DC380
ORD-01245,CUST-3088,166.51,2024-01-27,
ORD-01246,CUST-1685,,2024-01-25,
ORD-01247,CUST-6050,,2024-01-07,
ORD-01248,,140.18,2024-01-23,DC753
ORD-01249,CUST-1653,119.85,2024-01-04,DC602
ORD-01250,,114.42,2024-01-11,
ORD-01251,CUST-4441,N/A,2024-01-18,
ORD-01252,CUST-5088,146.92,2024-01-23,
ORD-01253,CUST-2684,,2024-01-22,DC448
ORD-01254,,161.07,2024-01-21,
ORD-01255,CUST-7658,,2024-01-12,
