order_id,customer_id,order_amount,order_date,region,discount_code
ORD-01400,CUST-7622,248.67,2024-01-12,South,
ORD-01401,CUST-9431,309.67,2024-01-14,North,DC699
ORD-01402,CUST-1018,365.45,2024-01-14,East,DC432
ORD-01403,CUST-9889,397.92,2024-01-16,,
ORD-01404,CUST-8569,211.97,2024-01-07,,DC401
ORD-01405,CUST-7770,289.89,2024-01-10,,
ORD-01406,CUST-1888,277.25,2024-01-19,,DC201
ORD-01407,CUST-4073,261.2,,South,DC217
ORD-01408,CUST-9494,478.89,2024-01-21,,DC766
ORD-01409,CUST-6927,356.45,2024-01-24,East,DC664
ORD-01410,CUST-9167,206.52,2024-01-28,Central,DC320
ORD-01411,CUST-8242,402.61,2024-01-08,Central,
ORD-01412,CUST-1845,510.99,2024-01-08,East,DC523
ORD-01413,CUST-4335,412.92,2024-01-08,,
ORD-01414,CUST-5375,183.26,2024-01-05,,
ORD-01415,CUST-9998,276.42,,West,
ORD-01416,CUST-3146,434.02,,,
ORD-01417,,256.31,2024-01-15,East,
ORD-01418,CUST-8178,359.94,,North,DC483
ORD-01419,CUST-8941,389.72,2024-01-24,West,DC803
ORD-01420,CUST-2989,236.58,,North,DC168
ORD-01421,CUST-1472,314.64,2024-01-18,South,
ORD-01422,CUST-4920,50.0,2024-02-01,South,
ORD-01423,CUST-3594,227.81,2024-01-21,West,
ORD-01424,CUST-6091,297.27,2024-01-07,Central,DC481
ORD-01425,CUST-1224,207.7,2024-01-10,East,DC669
ORD-01426,CUST-7684,466.92,2024-01-17,North,
ORD-01427,CUST-2527,191.29,,West,DC675
ORD-01428,CUST-4681,280.4,2024-01-11,,
ORD-01429,CUST-2858,331.77,2024-01-17,East,
ORD-01430,CUST-8560,449.71,2024-01-11,Central,
ORD-01431,CUST-2924,190.77,2024-01-24,North,DC868
ORD-01432,CUST-3522,424.68,2024-01-03,West,
ORD-01433,CUST-9165,320.92,2024-01-31,,DC152
ORD-01434,CUST-5781,231.66,2024-01-28,East,DC714
ORD-01435,CUST-9337,361.59,2024-01-17,Central,
ORD-01436,CUST-5479,337.92,2024-01-31,West,
ORD-01437,CUST-7807,265.98,,East,DC258
ORD-01438,,326.28,2024-01-24,North,DC329
ORD-01439,CUST-8736,285.32,2024-01-20,South,DC458
ORD-01440,CUST-4993,330.22,2024-01-08,West,DC476
ORD-01441,CUST-8483,379.59,2024-01-05,North,
ORD-01442,CUST-3369,462.74,2024-01-17,Central,
ORD-01443,CUST-7284,208.6,2024-02-02,Central,
ORD-01444,CUST-4122,511.97,2024-01-14,,
ORD-01445,CUST-9327,144.31,2024-01-21,Central,DC885
ORD-01446,CUST-3236,306.34,2024-01-12,,DC728
ORD-01447,CUST-2143,372.95,2024-01-23,North,DC670
ORD-01448,CUST-5526,345.29,2024-02-02,West,
ORD-01449,CUST-7798,263.96,2024-01-16,East,DC949
ORD-01450,CUST-6568,301.27,2024-01-25,West,DC129
ORD-01451,CUST-9318,275.63,2024-01-11,North,
ORD-01452,CUST-5377,266.96,2024-01-17,South,DC416
ORD-01453,CUST-1042,396.46,2024-01-30,,DC459
ORD-01454,CUST-5634,352.13,2024-01-12,North,
ORD-01455,CUST-5891,257.64,2024-01-09,East,DC679
ORD-01456,CUST-9022,400.96,2024-01-15,West,DC171
ORD-01457,CUST-3434,347.66,2024-01-30,,
ORD-01458,CUST-8316,393.16,2024-01-18,North,DC131
ORD-01459,CUST-9824,376.67,2024-01-06,South,
ORD-01460,CUST-8935,245.39,2024-01-10,,DC485
ORD-01461,CUST-6654,269.58,2024-01-15,South,
ORD-01462,CUST-6446,387.26,2024-01-21,West,
ORD-01463,CUST-9903,374.93,2024-01-14,West,
ORD-01464,CUST-7180,318.12,2024-01-21,,DC895
ORD-01465,CUST-8460,330.56,2024-01-12,,DC710
ORD-01466,CUST-6272,434.99,2024-01-25,West,
ORD-01467,CUST-4090,266.76,2024-01-12,,
ORD-01468,CUST-4912,369.24,2024-01-03,South,
ORD-01469,CUST-7274,301.8,2024-01-29,West,DC790
ORD-01470,CUST-4826,300.41,2024-01-24,North,
ORD-01471,CUST-7730,418.89,2024-01-15,West,
ORD-01472,CUST-1715,394.29,2024-01-11,Central,
ORD-01473,CUST-6213,393.22,2024-01-03,West,DC524
ORD-01474,CUST-8749,437.49,2024-01-21,East,
ORD-01475,CUST-7246,321.89,2024-01-30,,DC216
ORD-01476,CUST-7325,381.38,2024-01-24,East,
ORD-01477,CUST-3492,292.08,,South,
ORD-01478,CUST-9115,349.17,2024-01-26,,DC707
ORD-01479,CUST-1606,308.29,2024-01-04,West,
ORD-01480,,328.73,2024-02-01,South,DC146
ORD-01481,CUST-9229,373.56,2024-01-22,East,
ORD-01482,,246.36,,,DC156
