finding_id,run_id,kind,issue_type,column_name,severity,message,prev_value,curr_value,delta
79,82a5a089-b515-468d-9b8f-189021830229,schema,MISSING_COLUMN,quantity,HIGH,Column 'quantity' is present in the baseline but missing from this dataset.,,,
55,9dfc4dff-50ba-413a-b76d-eb7549b48230,anomaly,NULL_SPIKE,customer_id,MEDIUM,NULL spike in 'customer_id': 0.0% -> 38.89% (+38.9 pp).,0.0,38.89,38.89
56,d335e70f-b01e-448a-8f92-8f35fbbf95c5,anomaly,DISTRIBUTION_DRIFT_MEAN,order_amount,HIGH,Mean drift in 'order_amount': 2490.0366 -> 3859.5567 (55.0% change).,2490.0366,3859.5567,55.0
57,d335e70f-b01e-448a-8f92-8f35fbbf95c5,anomaly,DISTRIBUTION_DRIFT_STD,order_amount,MEDIUM,Spread (std dev) drift in 'order_amount': 427.5712 -> 662.7355 (55.0% change).,427.5712,662.7355,55.0
58,b8eba6bb-4f19-4871-9c91-6d79374de8d1,anomaly,DISTRIBUTION_DRIFT_STD,order_amount,HIGH,Spread (std dev) drift in 'order_amount': 427.5712 -> 940.6568 (120.0% change).,427.5712,940.6568,120.0
59,4b04ee64-5e85-44bd-8c07-5ee77bebe3f4,datatype,DATATYPE_INCONSISTENCY,order_amount,MEDIUM,"Column 'order_amount' has mixed types: 88.9% of non-null values parse as numeric, the rest do not.",,,
60,e7f5e4ec-f176-43ea-8f4f-90e1c9d0ad59,schema,NEW_COLUMN,sales_channel,MEDIUM,Column 'sales_channel' is present in this dataset but not in the baseline.,,,
61,e7f5e4ec-f176-43ea-8f4f-90e1c9d0ad59,schema,MISSING_COLUMN,quantity,HIGH,Column 'quantity' is present in the baseline but missing from this dataset.,,,
62,45da1891-ddbf-4adc-b993-b579caad866c,anomaly,DUPLICATE_SPIKE,ALL,HIGH,Duplicate rate rose from 0.0% to 16.28%.,0.0,16.28,16.28
63,3792cf5a-7697-476e-82bd-ace4d0239593,schema,MISSING_COLUMN,quantity,HIGH,Column 'quantity' is present in the baseline but missing from this dataset.,,,
64,3792cf5a-7697-476e-82bd-ace4d0239593,anomaly,NULL_SPIKE,customer_id,HIGH,NULL spike in 'customer_id': 0.0% -> 44.44% (+44.4 pp).,0.0,44.44,44.44
65,3792cf5a-7697-476e-82bd-ace4d0239593,anomaly,DISTRIBUTION_DRIFT_MEAN,order_amount,HIGH,Mean drift in 'order_amount': 2490.0366 -> 4233.062 (70.0% change).,2490.0366,4233.062,70.0
66,3792cf5a-7697-476e-82bd-ace4d0239593,anomaly,DISTRIBUTION_DRIFT_STD,order_amount,MEDIUM,Spread (std dev) drift in 'order_amount': 427.5712 -> 726.8708 (70.0% change).,427.5712,726.8708,70.0
67,a5c078e0-18dd-4500-9c4c-36519f61701b,schema,MISSING_COLUMN,quantity,HIGH,Column 'quantity' is present in the baseline but missing from this dataset.,,,
68,a5c078e0-18dd-4500-9c4c-36519f61701b,anomaly,NULL_SPIKE,customer_id,HIGH,NULL spike in 'customer_id': 0.0% -> 60.43% (+60.4 pp).,0.0,60.43,60.43
69,a5c078e0-18dd-4500-9c4c-36519f61701b,anomaly,DISTRIBUTION_DRIFT_MEAN,order_amount,HIGH,Mean drift in 'order_amount': 2490.0366 -> 4940.2909 (98.4% change).,2490.0366,4940.2909,98.4
70,a5c078e0-18dd-4500-9c4c-36519f61701b,anomaly,DISTRIBUTION_DRIFT_STD,order_amount,HIGH,Spread (std dev) drift in 'order_amount': 427.5712 -> 853.4718 (99.6% change).,427.5712,853.4718,99.61
71,a5c078e0-18dd-4500-9c4c-36519f61701b,anomaly,NULL_SPIKE,discount_code,MEDIUM,NULL spike in 'discount_code': 41.11% -> 80.43% (+39.3 pp).,41.11,80.43,39.32
